Protein	Protein ID	Entry Name	Gene	Protein Description	input_wtH_mutL Light Intensity	input_wtH_prpfL Light Intensity	input_wtL_mutH Light Intensity	input_wtL_prpfH Light Intensity	input_wtH_mutL Heavy Intensity	input_wtH_prpfL Heavy Intensity	input_wtL_mutH Heavy Intensity	input_wtL_prpfH Heavy Intensity	input_wtH_mutL Light MaxLFQ Intensity	input_wtH_prpfL Light MaxLFQ Intensity	input_wtL_mutH Light MaxLFQ Intensity	input_wtL_prpfH Light MaxLFQ Intensity	input_wtH_mutL Heavy MaxLFQ Intensity	input_wtH_prpfL Heavy MaxLFQ Intensity	input_wtL_mutH Heavy MaxLFQ Intensity	input_wtL_prpfH Heavy MaxLFQ Intensity	input_wtH_mutL Ratios HL	input_wtH_prpfL Ratios HL	input_wtL_mutH Ratios HL	input_wtL_prpfH Ratios HL	input_wtH_mutL Median Log2 Ratios HL	input_wtH_prpfL Median Log2 Ratios HL	input_wtL_mutH Median Log2 Ratios HL	input_wtL_prpfH Median Log2 Ratios HL
sp|O14735|CDIPT_HUMAN	O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase				5439557				3521825									0	0	0	1				-0.419534109
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	3.23E+08	3.82E+07	2.69E+08	7.51E+07	3.71E+08	2.84E+07	4.38E+08	5.38E+07	1.39E+08	3.82E+07	9.73E+07	4.96E+07	1.28E+08	2.84E+07	1.36E+08	3.53E+07	8	1	7	3	0.102360677	-0.230881016	0.532098649	-0.132540614
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	6.98E+08	4.27E+08	6.11E+08	5.03E+08	5.26E+08	3.27E+08	5.78E+08	3.70E+08	1.86E+08	8.08E+07	1.38E+08	1.07E+08	1.22E+08	5.68E+07	1.29E+08	6.85E+07	13	12	14	14	-0.2361114	-0.008760608	-0.056345866	-0.285506788
sp|O14745|NHRF1_HUMAN	O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1		7.39E+07		7.61E+07		4.32E+07		4.65E+07		3.30E+07		3.49E+07		1.79E+07		2.12E+07	0	5	0	5		-0.675161129		-0.494812953
sp|O14757|CHK1_HUMAN	O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1		3.15E+07		3.10E+07		2.46E+07		1.81E+07		1.21E+07		9001719		7466508		5823820.5	0	4	0	4		-0.032677475		-0.287331901
sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1031427.5	9.06E+07		8.27E+07	761729.75	3.64E+07		4.97E+07	1081880.8	5.11E+07		4.36E+07	1212021.6	3.12E+07		2.77E+07	1	1	0	2	-0.168906669	0.147990717		-0.590498105
sp|O14776|TCRG1_HUMAN	O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	4.49E+07	1.29E+08	1.99E+07	2.39E+08	1.91E+07	5.35E+07	1.98E+07	2.17E+08	2.28E+07	3.71E+07	2.14E+07	3.44E+07	2.04E+07	2.38E+07	2.12E+07	3.11E+07	1	4	1	12	-0.226281247	-0.611240324	-0.005862952	0.097844331
sp|O14777|NDC80_HUMAN	O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	1.08E+07	5.47E+07	1.32E+07	5.86E+07	7467431.5	3.35E+07	1.58E+07	4.38E+07		1.58E+07		1.73E+07		8691295		1.02E+07	1	6	1	6	-0.25944355	-0.119928802	0.389753932	-0.036032958
sp|O14787|TNPO2_HUMAN	O14787	TNPO2_HUMAN	TNPO2	Transportin-2		1.03E+07		8470598		9647279		4922653		1.03E+07		8470598		9647279		4922653	0	1	0	1		0.111848047		-0.575395955
sp|O14802|RPC1_HUMAN	O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	3.63E+08	5052231	2.80E+08	6883535	3.69E+08	3817855.5	2.85E+08	7060270	3.85E+07	2671891	3.24E+07	6883535	5.62E+07	1977228.6	5.37E+07	7060270	18	2	16	1	-0.137990451	-0.197139474	0.093280555	0.244205523
