Protein	Protein ID	Entry Name	Gene	Protein Description	input_wtH_mutL Light Intensity	input_wtH_prpfL Light Intensity	input_wtL_mutH Light Intensity	input_wtL_prpfH Light Intensity	input_wtH_mutL Heavy Intensity	input_wtH_prpfL Heavy Intensity	input_wtL_mutH Heavy Intensity	input_wtL_prpfH Heavy Intensity	input_wtH_mutL Light MaxLFQ Intensity	input_wtH_prpfL Light MaxLFQ Intensity	input_wtL_mutH Light MaxLFQ Intensity	input_wtL_prpfH Light MaxLFQ Intensity	input_wtH_mutL Heavy MaxLFQ Intensity	input_wtH_prpfL Heavy MaxLFQ Intensity	input_wtL_mutH Heavy MaxLFQ Intensity	input_wtL_prpfH Heavy MaxLFQ Intensity	input_wtH_mutL Ratios HL	input_wtH_prpfL Ratios HL	input_wtL_mutH Ratios HL	input_wtL_prpfH Ratios HL	input_wtH_mutL Median Log2 Ratios HL	input_wtH_prpfL Median Log2 Ratios HL	input_wtL_mutH Median Log2 Ratios HL	input_wtL_prpfH Median Log2 Ratios HL
sp|O43432|IF4G3_HUMAN	O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3		4.70E+07	1.15E+07	1.31E+07		1.07E+07	1.19E+07	236313									0	1	1	1		-2.4258151	-0.150293273	-0.1583152
sp|O43447|PPIH_HUMAN	O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	2.31E+07	2.26E+08	2.73E+07	2.02E+08	2.18E+07	1.35E+08	2.78E+07	1.75E+08	2.15E+07	6.92E+07	1.71E+07	6.39E+07	1.70E+07	2.76E+07	2.38E+07	5.29E+07	3	6	2	7	-0.32963737	-0.491111183	-0.099558322	-0.149957411
sp|O43464|HTRA2_HUMAN	O43464	HTRA2_HUMAN	HTRA2	"Serine protease HTRA2, mitochondrial"		1.47E+07		9996738		2.13E+07		6106018		1.07E+07		9996738		1.30E+07		6106018	0	2	0	1		0.402485855		-0.503593797
sp|O43482|MS18B_HUMAN	O43482	MS18B_HUMAN	OIP5	Protein Mis18-beta	3005337.5				893979.3												1	0	0	0	-1.480829058			
sp|O43488|ARK72_HUMAN	O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2		1.37E+08		2.24E+08		1.24E+08		1.71E+08		9.06E+07		8.77E+07		9.06E+07		5.27E+07	0	4	0	7		0.182715565		-0.462937425
sp|O43491|E41L2_HUMAN	O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2		1.41E+07		5.23E+07		1.23E+07		3.45E+07		7024082		9974786		4873051.5		6363153.5	0	4	0	7		0.020574862		-0.196450963
sp|O43493|TGON2_HUMAN	O43493	TGON2_HUMAN	TGOLN2	Trans-Golgi network integral membrane protein 2				4481345				1520768									0	0	0	1				-1.351499942
sp|O43566|RGS14_HUMAN	O43566	RGS14_HUMAN	RGS14	Regulator of G-protein signaling 14			1388297.4	770578			629268.06				1388297.4	770578					0	0	1	0			-1.015768601	
sp|O43583|DENR_HUMAN	O43583	DENR_HUMAN	DENR	Density-regulated protein		3.57E+07		4.37E+07		3.71E+07		4.48E+07		1.22E+07		1.78E+07		9047307		2.54E+07	0	5	0	3		-0.239709031		0.223797697
sp|O43592|XPOT_HUMAN	O43592	XPOT_HUMAN	XPOT	Exportin-T	1617761	7.92E+07	1.10E+07	9.52E+07	1279032.9	6.93E+08	1.10E+07	5.02E+08	1.89E+07	1.62E+07	8988758	1.92E+07	1.22E+08	8.94E+07	6.21E+07	1.21E+08	1	4	1	5	-0.070560606	0.032814698	0.128690539	-0.166575229
sp|O43615|TIM44_HUMAN	O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	3.26E+07	2.52E+08	1.48E+07	3.47E+08	3.35E+07	2.38E+08	1.06E+07	2.08E+08	1.14E+07	6.27E+07	8790618	4.72E+07	1.02E+07	6.55E+07	6995021	3.98E+07	4	10	3	13	0.191528702	0.259111137	-0.567099011	-0.253080649
sp|O43617|TPPC3_HUMAN	O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	1.97E+07	9459317	1.35E+07	1.83E+07	1.66E+07	9040682	1.48E+07	2.67E+07	2.01E+07	9281606	1.38E+07	9135322	1.54E+07	1.48E+07	1.38E+07	1.59E+07	1	1	1	2	0.019468918	0.140231994	0.589303671	0.697811029
sp|O43633|CHM2A_HUMAN	O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a		7.05E+07	327370.8	6.31E+07		6.41E+07	373353.8	5.40E+07		1.36E+07	4945108	1.79E+07		1.20E+07	5146777	1.50E+07	0	3	1	3		0.096305389	0.315419049	0.087235778
sp|O43660|PLRG1_HUMAN	O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	1.30E+07	5.52E+07	9183614	2.75E+07	1.20E+07	6.32E+07	2.12E+07	9884413					1.20E+07		1.19E+07		1	2	1	2	0.153689063	-0.231114428	0.14400427	-1.269752252
sp|O43665|RGS10_HUMAN	O43665	RGS10_HUMAN	RGS10	Regulator of G-protein signaling 10				5756202				4606335									0	0	0	1				-0.113866082
sp|O43670|ZN207_HUMAN	O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207				3.60E+07				2.29E+07									0	0	0	2				-0.224920094
sp|O43674|NDUB5_HUMAN	O43674	NDUB5_HUMAN	NDUFB5	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial"						7399891											0	0	0	0				
sp|O43676|NDUB3_HUMAN	O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3		9397635		1.26E+07		1.34E+07		8665329		9397635		1.26E+07		1.34E+07		8665329	0	1	0	1		0.730183481		-0.327171647
sp|O43678|NDUA2_HUMAN	O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2				6309337				5003315									0	0	0	1				-0.126972339
sp|O43681|GET3_HUMAN	O43681	GET3_HUMAN	GET3	ATPase GET3	5.34E+07	1.13E+07	7.16E+07	1.27E+07	3.69E+07	1.03E+07	5.63E+07	1.04E+07	2.91E+07	1.13E+07	2.16E+07	6494452	2.02E+07	1.03E+07	1.86E+07	5594352	2	1	4	2	-0.692037283	0.07160226	-0.241965617	-0.078926158
sp|O43683|BUB1_HUMAN	O43683	BUB1_HUMAN	BUB1	Mitotic checkpoint serine/threonine-protein kinase BUB1	1.86E+07			3060685	2.79E+07			2661341									2	0	0	1	0.638785432			0.005930622
sp|O43684|BUB3_HUMAN	O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	9.32E+07	3.75E+08	1.66E+08	5.02E+08	9.65E+07	2.68E+08	9.41E+07	5.12E+08	3.81E+07	8.27E+07	3.49E+07	1.05E+08	3.01E+07	4.88E+07	2.75E+07	8.75E+07	4	12	5	13	0.345952356	-0.277108354	0.01974785	0.290841476
sp|O43707|ACTN4_HUMAN	O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	2.85E+08	2.77E+09	3.93E+08	2.94E+09	2.42E+08	2.27E+09	2.68E+08	2.24E+09	6.32E+07	2.50E+08	6.27E+07	2.61E+08	4.03E+07	1.98E+08	5.08E+07	1.90E+08	12	46	12	46	-0.343797741	-0.136813796	-0.192197236	-0.238878342
sp|O43709|BUD23_HUMAN	O43709	BUD23_HUMAN	BUD23	18S rRNA (guanine-N(7))-methyltransferase	1.77E+07	2.27E+07	1.43E+07	1.46E+07	1.18E+07	1.72E+07	1.31E+07	2.93E+07	1.77E+07	1.34E+07	1.43E+07	1.46E+07	1.18E+07	9263890	1.31E+07	1.59E+07	1	2	1	1	-0.442019714	-0.170635609	-7.02E-04	0.327589243
sp|O43719|HTSF1_HUMAN	O43719	HTSF1_HUMAN	HTATSF1	17S U2 SnRNP complex component HTATSF1	1.54E+07	3.26E+07	6.59E+07	1.54E+07	1.42E+07	2.45E+07	7.90E+07	1.58E+07	1.04E+07	2.72E+07	1.73E+07	8099535.5	1.00E+07	1.99E+07	1.88E+07	6951068.5	2	2	4	4	-0.080741503	-0.22169136	0.524876166	0.432565628
sp|O43747|AP1G1_HUMAN	O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1	5277622.5	9.24E+07		4.98E+07	4125841.2	3.81E+07		3.34E+07	2.01E+07	1.82E+07		1.37E+07	1.09E+07	1.03E+07		1.01E+07	1	5	0	4	-0.086815222	-0.080487581		0.247961785
sp|O43752|STX6_HUMAN	O43752	STX6_HUMAN	STX6	Syntaxin-6				9698267				6737932									0	0	0	2				0.028244737
sp|O43760|SNG2_HUMAN	O43760	SNG2_HUMAN	SYNGR2	Synaptogyrin-2	1.46E+07	1.28E+07	4.23E+07	2.01E+07	1.31E+07	1.12E+07	3.16E+07	1.27E+07	1.71E+07	7404067.5	2.10E+07	1.74E+07	1.34E+07	5339013	1.70E+07	1.47E+07	1	2	2	1	-0.003536584	0.009077202	-0.415836825	-0.45576469
sp|O43765|SGTA_HUMAN	O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha				5814429				5484073									0	0	0	1				0.123242043
sp|O43766|LIAS_HUMAN	O43766	LIAS_HUMAN	LIAS	"Lipoyl synthase, mitochondrial"				2536892				3417209									0	0	0	1				0.637388142
sp|O43768|ENSA_HUMAN	O43768	ENSA_HUMAN	ENSA	Alpha-endosulfine		1.39E+07		3.60E+07		1.80E+07		2.89E+07		1.39E+07		3.60E+07		1.80E+07		2.89E+07	0	1	0	1		0.557939046		-0.108822811
sp|O43776|SYNC_HUMAN	O43776	SYNC_HUMAN	NARS1	"Asparagine--tRNA ligase, cytoplasmic"	2.65E+07	3.50E+08	1.37E+07	4.67E+08	2.58E+07	2.96E+08	1.58E+07	3.55E+08	1.26E+07	9.88E+07	1.49E+07	8.50E+07	1.52E+07	8.39E+07	1.63E+07	6.91E+07	2	10	1	13	0.229056716	-0.051567216	0.326918566	-0.142176202
sp|O43808|PM34_HUMAN	O43808	PM34_HUMAN	SLC25A17	Peroxisomal membrane protein PMP34	777448.94	7437690		3783652	621383.9	6745049		2802544	777448.94	7437690		3783652	621383.9	6745049		2802544	1	1	0	1	-0.054878445	0.064510748		-0.225410567
sp|O43809|CPSF5_HUMAN	O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	4502993.5	7.54E+07	4541279	1.74E+08	3529565.2	6.57E+07	1.76E+07	1.82E+08	4516265.5	4.45E+07	4554664	3.72E+07	6320746.5	2.13E+07	1.41E+07	2.82E+07	1	5	1	8	-0.083009403	-0.050150657	0.223612981	-0.127815409
sp|O43813|LANC1_HUMAN	O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1		4402508.5		3.53E+07		1.14E+07		1.42E+07		6510767.5		1.27E+07		1.14E+07		7569270	0	1	0	3		1.494092632		0.024210797
sp|O43815|STRN_HUMAN	O43815	STRN_HUMAN	STRN	Striatin	3.84E+07	6.29E+07	4.01E+07	5.65E+07	3.65E+07	6.15E+07	3.46E+07	4.89E+07	1.53E+07	1.14E+07	2.60E+07	1.23E+07	1.41E+07	1.71E+07	1.73E+07	1.57E+07	4	5	3	5	0.207568294	-0.453656006	-0.226701114	-0.45117166
sp|O43818|U3IP2_HUMAN	O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2		5.08E+07		6.50E+07		4.11E+07		5.48E+07		2.19E+07		1.93E+07		1.82E+07		2.09E+07	0	4	0	5		-0.035790559		0.233305655
